"Source:","/usr/local/src/VSCP/can4vscp-frankfurt-eth/esp32-version/kicad/frakfurt_eth.kicad_sch"
"Date:","tor 23 mar 2023 16:47:27"
"Tool:","Eeschema 7.0.1-3b83917a11~172~ubuntu22.10.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","42"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C3","1","10u","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C4","1","100u","C_Polarized_Small","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B","Polarized capacitor, small symbol","",""
"C5","1","100nF","C","Capacitor_SMD:C_0805_2012Metric","Unpolarized capacitor","",""
"C6, C7, C8, C9, C10, C11","6","100n","C_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor, small symbol","",""
"C12","1","10uF","CP_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"C13","1","1uF","CP_Small","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","",""
"D1","1","LED_Dual_KAK","LED_Dual_KAK","LED_THT:LED_D5.0mm-3","Dual LED, common anode on pin 2","",""
"D2","1","NUP2105L","NUP2105L","Package_TO_SOT_SMD:SOT-23","Dual Line CAN Bus Protector, 24Vrwm","",""
"D3","1","SS14","D_Schottky_Small","Diode_SMD:D_SMA","Schottky diode, small symbol","",""
"D4","1","LED","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Light emitting diode","",""
"J1","1","HR911105A","HR911105A","lib:HANRUN_HR911105A","","",""
"J2","1","PROG","Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J4","1","Conn_Left_I2C","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"J5","1","Conn_01x02","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"L1, L2","2","BLM21SP181SN1D","L_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Inductor, small symbol","",""
"R1, R2, R3, R4","4","49R9","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"R5, R14","2","270","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"R6, R7, R12, R13, R16","5","10k","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"R8, R9, R10","3","10R","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"R11","1","12.1k","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"R15","1","120R","R_Small","Resistor_SMD:R_0805_2012Metric","Resistor, small symbol","",""
"R17","1","470R","R_Small","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Resistor, small symbol","",""
"U2","1","ESP32-WROOM-32","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32","RF Module, ESP32-D0WDQ6 SoC, Wi-Fi 802.11b/g/n, Bluetooth, BLE, 32-bit, 2.7-3.6V, onboard antenna, SMD","",""
"U3","1","LAN8720A","LAN8720A","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","LAN8720 Ethernet PHY with RMII interface, QFN-24","",""
"U4","1","SN65HVD232","SN65HVD232","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","CAN Bus Transceivers, 3.3V, 1Mbps, SOIC-8","",""
"U5","1","R-78B3.3-1.0 (Recom)","R-78B3.3-2.0","Converter_DCDC:Converter_DCDC_RECOM_R-78B-2.0_THT","2A Step-Down DC/DC-Regulator, 4.75-32V input, 3.3V fixed Output Voltage, LM78xx replacement, -40°C to +85°C, SIP3","",""
